"","ID","E1","E2","E3","E4","E5","E6"
"1",1666,1024.45227949142,1008.52892191312,837.830541771916,526.400683669239,1053.88755768845,618.243126906769
"2",693,705.418292208048,766.858257458679,863.48915314682,595.75245816796,1205.74308385005,758.553485262113
"3",93,1349.15507674841,861.967674654496,862.774573555023,297.054839839915,759.308483803059,745.553837920273
"4",3,1142.85050369161,804.284370267933,903.529987489181,440.963202304473,799.549374696795,325.065796334201
"5",1123,1483.80026759445,543.688149067843,708.842635466332,591.02171719715,901.923048145522,854.481652307826
"6",394,1096.31863635391,884.45697700117,767.422187180704,313.086438947804,985.572219666071,469.635249139753
"7",1257,711.522456886211,590.432201292861,904.429319486472,528.600124151151,935.770355943981,600.225699082093
"8",851,666.099160017908,495.201026201963,552.254347797388,502.16007142762,793.111302537984,432.568808266423
"9",882,1355.86021262719,695.497125479227,793.737103410332,251.428568303052,803.975991865984,643.984796634903
"10",788,934.544876472583,723.970679595065,670.031756538754,277.321401372493,822.037595005243,645.35492077836
"11",99,880.679020598285,596.220502361005,335.297251554376,796.122086883281,627.725682981137,417.103174440849
"12",1448,1073.52752202906,1036.78848430103,539.447281647383,568.16734234242,673.080844551971,648.672272367423
"13",599,1124.58818619897,778.558030573106,656.903678005899,723.036448306871,902.221398193359,157.285085526611
"14",207,1130.69673542437,942.314061333297,478.131309239351,364.043299784124,1114.31874730585,586.636771582029
"15",696,1121.99737596417,811.041702172544,849.845296429224,578.335050334956,671.50070778668,297.154318436803
"16",408,1032.64638270546,671.300316234213,657.287529185572,733.023359209313,632.704413763711,544.988162634687
"17",55,1161.27859385699,585.952213097244,613.606406862103,489.218317922262,775.758851411224,849.0008585108
"18",1421,1043.53293334957,763.951348795802,390.296533218285,546.516825855463,1055.63037314048,717.493569547313
"19",548,NA,787.01277203412,619.274805360636,625.787226526608,577.423411013117,940.931367545913
"20",239,890.87530411852,701.821269520271,540.830210401894,567.71897533566,821.073040875644,712.045711978197
"21",595,1242.06828593445,747.571547523405,632.871582688183,594.322257846443,942.165585731266,605.431673576141
"22",319,1072.73118963538,701.500455833688,740.719554230022,444.166026946398,1038.26782069628,608.671292931586
"23",650,1096.78280340453,824.761083346161,591.030693824133,400.065528059708,712.3014719955,890.494440478698
"24",1428,1187.03763616404,790.732183890638,756.712228396284,694.395547343297,552.090635748927,611.095449839812
"25",1750,1058.78675467255,847.614073557772,526.199130283859,739.448178530375,584.721190186668,390.901349583675
"26",202,1090.24613768062,764.089234439437,924.276726706584,498.748831742495,945.803000332062,486.665941010919
"27",643,1267.41839633786,906.96565209169,624.543830331162,533.684409285637,604.363168125354,548.971182771999
"28",1436,748.377916297894,821.394659710631,752.806110596628,384.837384153147,613.226808107489,654.15445978626
"29",467,1096.36647302815,875.823137926253,503.559031496692,621.631215435713,796.093951953049,522.250276372635
"30",427,1257.39298668372,975.215900592713,700.489520085783,391.277814934233,816.488370933141,480.882127304202
"31",1718,1217.30794871213,699.381978427426,644.127672588101,582.29153750732,1261.87510945057,NA
"32",1021,1032.22739174578,745.913090975382,858.747421566439,358.747404871219,925.240931213673,NA
"33",125,1338.73968744629,818.30084410771,847.493532228622,401.995356886982,509.087258682521,787.129133333466
"34",1325,1190.68494623927,665.710246683809,537.743383609368,560.575346405126,841.356287613276,168.589562873713
"35",149,678.275350378421,669.264800486152,752.547439213186,693.160394841257,564.988215961265,509.777165642835
"36",134,819.626063704053,1027.19140761163,866.731724791315,596.821152325479,836.619649281351,604.879434826514
"37",1322,745.748672649427,970.162462936671,599.407569469984,193.568664818447,913.719394577458,535.621359319044
"38",1783,1075.12648804945,1142.6524283435,620.800588418522,525.402801872078,674.367736163173,782.147170580306
"39",676,1171.53230144111,635.497610740912,742.783288444511,451.563649612535,753.754172847714,467.118129586124
"40",1029,912.24636751203,483.012075552943,363.319038930219,439.006125502071,468.57976426851,717.030846601208
"41",902,800.292502115419,1008.6691133348,699.151822029179,751.664059832235,808.305421730512,561.625869103464
"42",987,972.287763011513,874.089396882614,825.646990541144,497.176831374616,1110.0172534984,788.196210560685
"43",810,827.50574776842,732.55863749326,863.246087594898,594.213509428256,792.252560447664,671.313738492745
"44",60,894.062067385496,1051.8179994509,631.96860634485,184.049728375669,914.848762731712,993.873423002541
"45",1604,1425.73480952506,794.265143842211,739.296018510581,596.411995625666,792.325919900961,604.990500527127
"46",838,661.978526869437,930.071535871413,628.699430624979,639.955350803029,852.831772368405,523.271783241337
"47",1203,971.819445147147,966.15594931201,450.99597359421,543.602153683246,978.178309165273,334.492211628513
"48",1439,1085.6312819918,716.968992173454,890.106368649517,396.216783287589,802.005555967913,750.440330549314
"49",1195,992.936795122718,766.972135411163,828.692490274251,694.217110274357,1074.11965312772,806.350551842911
"50",1501,1213.44012900838,505.792552808423,539.757166858836,485.142197681205,1187.30719430586,471.238784085275
"51",1158,1259.67396788918,655.684704069248,610.590177301331,629.79689540255,865.54128612677,752.487275407693
"52",436,NA,683.91580573083,998.073118979436,500.521291876392,949.349846994579,671.734559885896
"53",325,1092.8184677246,1025.99941233443,623.885538650852,566.137845856413,726.663012851517,764.06711645591
"54",684,1131.89086615633,758.808913603881,400.81695057184,363.925267157132,591.232172902441,712.263345562116
"55",635,808.826604065216,665.530569746341,375.792351785033,357.13727178336,961.947051253238,387.792320737003
"56",1120,963.899823872606,821.282862597721,705.718486214125,499.211985417181,676.904381922166,628.818818014377
"57",265,1055.46379653613,716.903320017122,876.673417878593,530.303397573231,977.646674146635,733.451594036415
"58",278,1070.61671047869,653.708871224768,1056.65259536949,303.326637035933,807.849696485862,510.240543129504
"59",1544,669.797900946115,576.738380237047,578.481650888739,622.306564019099,931.270657136924,835.814068520356
"60",809,1285.02561324079,611.058525080149,610.585469167335,402.312478387725,699.395751128187,553.210072176412
"61",1800,1105.77841976468,818.622632240281,703.229913762684,480.175790333997,657.49246764548,662.864474766388
"62",1258,1164.82716798071,821.005349370297,696.894153311506,353.539473734775,754.506836396381,460.962687786074
"63",247,1055.4739908998,779.130890719789,925.981086416283,442.194613383996,953.90992989896,698.768484778531
"64",1637,673.9485010149,1009.74412096633,369.018622169742,551.929653405808,964.362881517864,439.181393955977
"65",1408,1237.51505627626,758.971261800625,650.936925155843,579.629346316603,1317.81416945394,375.186490324555
"66",1229,1224.8547868163,855.718208622951,601.549290670706,672.835560604079,890.771159166601,732.971620029934
"67",1242,898.798369116593,1010.91056764774,821.967195601011,458.687527612409,878.894176403961,575.474673659573
"68",943,1120.42885934646,831.432465171487,506.082935290317,633.483997215927,1184.35642481515,409.725389810198
"69",1522,735.428388127976,967.054108264946,901.697809162928,500.322438613561,904.757359292594,754.280615097629
"70",1286,1116.57831036521,870.339664713058,655.00877908936,499.759544585089,504.836463577553,522.542701106202
"71",590,1012.36876452661,1006.03652279141,822.037114221978,974.117035956545,807.570229157442,709.395393418707
"72",613,1125.66004356579,676.608089047029,454.713418121917,626.625771778413,995.918458904047,674.63271971616
